dominant_emotion,n,n_real,n_fake,error_rate,fp_rate,fn_rate,AUC
contentment,282,144,138,0.22340425531914893,0.1736111111111111,0.2753623188405797,0.8730374396135265
anger,20,8,12,0.2,0.125,0.25,0.9270833333333333
thankfulness_gratitude,11,2,9,0.18181818181818182,0.0,0.2222222222222222,0.8888888888888888
astonishment_surprise,263,135,128,0.1520912547528517,0.1259259259259259,0.1796875,0.9311342592592593
amusement,14,4,10,0.14285714285714285,0.25,0.1,0.9
elation,136,85,51,0.125,0.11764705882352941,0.13725490196078433,0.9483275663206459
interest,17,9,8,0.11764705882352941,0.1111111111111111,0.125,0.986111111111111
sexual_lust,18,7,11,0.1111111111111111,0.14285714285714285,0.09090909090909091,0.8961038961038961
disappointment,10,3,7,0.1,0.0,0.14285714285714285,1.0
embarrassment,17,3,14,0.058823529411764705,0.0,0.07142857142857142,0.9761904761904763
