video_id,label,split,manipulation_family,manipulation_type,n_face_frames,video_score_mode,detector_score,detector_pred,dominant_emotion,mean_valence,std_valence,mean_arousal,std_arousal,max_arousal,emotion_entropy,transition_rate,arousal_variation,neutral_ratio,mean_score_affection,mean_score_amusement,mean_score_anger,mean_score_astonishment_surprise,mean_score_awe,mean_score_bitterness,mean_score_concentration,mean_score_confusion,mean_score_contemplation,mean_score_contempt,mean_score_contentment,mean_score_disappointment,mean_score_disgust,mean_score_distress,mean_score_doubt,mean_score_elation,mean_score_embarrassment,mean_score_emotional_numbness,mean_score_fatigue_exhaustion,mean_score_fear,mean_score_helplessness,mean_score_hope_enthusiasm_optimism,mean_score_impatience_and_irritability,mean_score_infatuation,mean_score_interest,mean_score_intoxication_altered_states_of_consciousness,mean_score_jealousy_&_envy,mean_score_longing,mean_score_malevolence_malice,mean_score_pain,mean_score_pleasure_ecstasy,mean_score_pride,mean_score_relief,mean_score_sadness,mean_score_sexual_lust,mean_score_shame,mean_score_sourness,mean_score_teasing,mean_score_thankfulness_gratitude,mean_score_triumph,y,identity
Celeb-real__id0_0002__9e73ac85,real,val,,Celeb-real,59,mean,0.9309049152721792,1,disappointment,-0.3509421447668984,0.0752928694604613,0.2396808678911142,0.0555721621804365,0.3831366092116423,1.0719964267556892,0.5,0.0434521183804717,0.0508474576271186,-0.5475641130390814,-0.5439626382569135,2.5791271743127857,1.3442888643782018,0.5763961824320131,1.439266361422458,0.0742253812692933,1.3919905858524777,0.1050615260156534,2.0006977077257835,1.971114597078097,2.894984348345611,2.1434391696574324,-0.4639535850640071,0.1303644403183864,0.3832159385842792,2.5949716810452736,0.5998642666865204,1.1007378454935752,1.295761147798118,0.9983958430209402,-0.411162923958342,1.8413407944016535,-0.470896644107366,0.0816808524778333,0.4535997237189341,1.1436762233911937,-0.0018453466690192,0.4118485541666968,1.6173799724902136,-0.2712953878661333,-2.163981280084384,-0.0706532203545004,0.6364242363784273,0.7079714738716514,0.5098379875643778,0.0604918657217995,0.0224975332365197,0.3704116728346227,-1.8620995161897045,0,id0
Celeb-real__id0_0005__c45f0938,real,val,,Celeb-real,77,mean,0.5995367818645069,1,anger,-0.3040499392594457,0.0634689816957498,0.2963624566329931,0.0515067713058448,0.4162977199199446,0.9960689365879598,0.3815789473684211,0.0384638164104848,0.0389610389610389,-0.7699855968549654,-0.2632361278905497,2.857152183334549,1.7632158143179757,0.6604262528481422,1.2819165022342236,-0.0094958597963506,1.6037238813065864,-0.3703910065935804,1.8965712228378693,2.142184754470726,2.1306979067913896,2.039557289767575,-0.5963396667079492,0.2239276405859303,0.7722066625372156,2.7077553148393507,0.5543623833687275,1.0818247106168175,1.387699400449728,0.8284907925438572,-0.231419665472848,1.9187114610300435,-1.0314353890233223,0.2055489146090173,0.6292288713640981,0.8227979780791642,-0.1149344196567287,0.361978318784144,1.8486001677327344,0.552744000763088,-2.141275071478509,-0.0761000390176649,0.238987969887721,0.7202460518131009,0.2808718681335449,-0.2381988736716183,0.0415192114842402,0.0896619264181558,-1.6052130770373654,0,id0
Celeb-real__id0_0007__4f22f911,real,val,,Celeb-real,80,mean,0.3748158282396616,0,anger,-0.1672888561137577,0.1405994709507555,0.3674230904056714,0.0589357119656298,0.4708146450793455,1.6403819286447014,0.5822784810126582,0.0434090553680453,0.125,-0.2414215583354234,0.3645938605070114,2.568770767748356,2.388778403401375,0.8302097424864769,1.197352421283722,-0.0412022806704044,1.4522472508251667,-0.9716262310743332,1.5708475768566132,2.1288188621401787,1.0999176695942878,2.1070188239216803,-1.1375808089971542,0.0295251624193042,1.486063188314438,2.529397575557232,0.5330932578071952,0.6815501816570759,1.6072603300213817,0.3377736579626799,0.0420664943754673,1.6420842938125133,-0.2637041956186294,0.9522195922210812,0.7762484006583691,0.8954887993633747,6.981119513511657e-05,0.3380030363798141,1.1768871322274208,0.587150240689516,-1.872947882115841,-0.0575159475207328,-0.0667521841824054,0.9815380573272704,0.2080730561167001,-0.4042421709746122,0.4778251189738512,0.6806246817111969,-1.1560517456382513,0,id0
Celeb-real__id10_0000__9273e8bc,real,test,,Celeb-real,40,mean,0.8419862334616482,1,astonishment_surprise,0.1659087647479023,0.1154221986943639,0.4308239818633989,0.0560506849099109,0.5322081164453164,1.1011730449555022,0.358974358974359,0.048927661435205,0.025,0.5280096262693406,1.2606203526258468,0.9462891548871994,3.657524770498276,3.003819319605827,-0.1243728697299957,-1.631662157177925,1.5556647673249244,-0.2568514905869961,0.3456635177135467,1.29380644261837,1.1212370842695236,0.9241774380207062,-0.5486530065536499,0.4014510676264763,2.0532961159944536,1.8560228750109675,-0.3250367926899343,-0.0960510693490505,2.0174478888511658,-0.0462275147438049,0.2596566423773765,-0.5171219766139984,2.0124777257442474,2.689153851568699,1.1776261761784554,0.0709421634674072,0.4536438599228859,-0.3212796568870544,1.0657966405153274,1.6692921444773674,-1.083190731704235,0.6333359718322754,0.4231593966484069,2.1944181472063065,-0.0851452589035034,-0.4561599820852279,0.864762832224369,2.0955298483371734,-1.2392120756208898,0,id10
Celeb-real__id10_0002__6a16be4b,real,test,,Celeb-real,54,mean,0.3490702124717817,0,interest,0.107426104771364,0.0784100635405464,0.4193342398644496,0.035456950107761,0.4902283561494688,0.9521107817580928,0.490566037735849,0.0374041578503741,0.0,1.741878170106146,2.5885418388578625,1.2699242521215368,3.3020349696830467,1.6821911599900987,0.5093538716987327,-1.0620738356201738,1.8584850872004477,-0.2958107071894186,0.9279442451618336,1.3853401828695229,1.8027394921691329,1.6262316560303722,-0.8648111853334639,0.6175566714394976,3.0290763400219105,1.8991900483767192,-0.2184250522059974,0.1847296346116949,2.216574505523399,0.002915542434763,-0.250508498262476,-0.3253772170455367,1.923318361794507,3.69026509920756,1.6869870004830536,0.9181097977691226,0.5254432205800657,0.0857327845361497,1.1023605156827856,0.6578077828442609,-0.9089387401386544,0.0300347175863054,0.4079910108336695,2.8134551269036754,0.1740142907257433,-0.3911820937086034,0.9152120716041988,1.671271491933752,-1.2883107253798731,0,id10
Celeb-real__id10_0004__2f2a56d2,real,test,,Celeb-real,87,mean,0.2393479549015561,0,astonishment_surprise,-0.0319240289553154,0.260708247215799,0.3868467444378881,0.0586024127556703,0.5184638014125424,1.6624258484620276,0.3604651162790697,0.0385102133173966,0.2068965517241379,0.7440363446186329,1.1210459799602115,1.6107735949001094,2.4979537451404266,1.4121873789820178,0.7224046827732832,-1.356059403255068,1.7043740632890283,-0.3945880950182334,1.197579777103731,1.738346058746864,2.071986924642804,1.4816322093722465,-0.3150667902724496,0.3500445091604501,1.6140317478399169,1.9279945143337909,-0.406263195063876,-0.1828449238305804,1.6464361109952816,0.1567328394144431,-0.163683275381724,0.1862831136275982,1.266213854153951,1.3159680044514008,0.7696760653079241,1.172074409051873,0.2620461069304368,-0.0119568164321197,1.314217463306997,0.5908850383484501,-0.6953649856578344,0.0852860465817067,0.4323642315535709,2.0296782762154764,0.0386273812973636,-0.511256098404698,0.363945081658747,1.4966389831455271,-1.4552513727511482,0,id10
Celeb-real__id10_0006__556711a5,real,test,,Celeb-real,27,mean,0.7024249591761165,1,contentment,0.3731631048086645,0.0789204548440893,0.3996356099679814,0.0403040175507988,0.5028729485992881,0.8444867347600606,0.1153846153846153,0.0216390788074231,0.6296296296296297,2.170010791884528,4.210801645561501,1.290425419807434,2.901908940739102,1.3033741535963836,-0.4447133320349234,-1.6219266675136708,1.2519879517731842,-2.217620942327711,0.4629399114184909,4.691524549766823,0.4064786963992648,0.7594809752923471,-2.139821697164465,-0.4780745464894507,4.288222171642162,2.024647527270847,-0.012023561530643,-0.1387684290055875,1.020085127265365,-0.8247437521263405,1.0913418443114669,-0.2022027130480166,1.2800823582543268,0.9492703676223756,1.2061311139000788,-0.2729813522762722,-0.0124252482696815,-0.2440389615518075,0.6140750381681654,2.5160826135564736,-0.15883410859991,0.920985718568166,-0.4122191866238912,2.3575262935073287,-0.3800638185607062,-0.6548210294158371,1.1948876712057326,3.237413688942238,-0.3803441590732998,0,id10
Celeb-real__id10_0007__841eee79,real,test,,Celeb-real,83,mean,0.9241180816687732,1,elation,0.2915809094398027,0.147639105405705,0.434134993621155,0.034354039460919,0.5186583544795388,1.4172633669758874,0.6097560975609756,0.0281698640991643,0.2650602409638554,1.5299536618123573,2.650891776544502,1.3812392677169247,2.756777398557548,1.6007673165884362,-0.0124262427709188,-1.3292112544358494,1.3493895983121482,-1.3552151440855968,1.0542855248393783,3.5166333526013847,0.0222609876150108,0.781852760228766,-2.154851823686117,-0.6696698316877865,3.69481418362583,1.1755204990685704,-0.279408526550754,-0.7321925306894693,1.4415950925953418,-0.836195759026401,0.5193368986428503,-0.0575188872325851,1.952672638088824,2.0385074751922883,1.6438599990074894,0.4338825538933995,0.1517139895852789,-0.1352404090295355,0.7940924512334617,1.9417380525405148,0.0807263678814991,0.5687341611069369,-0.5172513773642391,3.191328163606575,-0.5225177385720862,-0.6658444095806904,1.1876553117510784,2.654490907508207,-0.4506145633128752,0,id10
Celeb-real__id10_0009__00911e7c,real,test,,Celeb-real,90,mean,0.6455271744738437,1,elation,0.1976609940521318,0.142040009748035,0.4798371086757117,0.0434354881179316,0.5612345578250989,1.364016269342346,0.4719101123595505,0.0411879729263433,0.0555555555555555,0.965905080238978,2.7066112597783407,1.914909961488512,2.914056550131904,1.63234787384669,-0.1238356365097893,-0.93073897295528,1.309649352894889,-1.58953664832645,1.487034265200297,2.4149948517481485,0.1523452520370483,1.359679659869936,-2.075422409507963,-0.3799793483482467,3.3154834853278268,1.4640216562483046,-0.0831399088518487,-0.4252460241317749,1.3181856804423862,-0.656859259472953,0.344770946767595,0.2662057677904765,1.4100004070334964,2.3248151845402187,1.2003719204001957,0.7883519457446204,0.083438104391098,0.0842221485243903,0.8551923500166999,1.7081884576214683,-0.4936574500468042,0.1195867359638214,-0.3614064176877339,3.119970597161187,-0.192581918504503,-0.5846419480111864,0.9759946544965108,1.4335496293173895,-0.5784586128261354,0,id10
Celeb-real__id11_0001__5a90326e,real,train,,Celeb-real,74,mean,0.8175166622559363,1,elation,-0.0237981974776621,0.1276215607464369,0.4449725516798396,0.0489528049371286,0.5407078398991259,1.273241046123576,0.5068493150684932,0.050647919450248,0.2027027027027027,0.1972320482537553,2.224537720551362,2.4625319419680416,2.6321131264841235,0.894692683542097,0.5370809000891608,-0.5442530456426982,1.5042790569163658,-1.428496451796712,1.975439532383068,2.425529380102416,0.776227192298786,1.589527068105904,0.0498612083091929,0.0821464404564451,2.704242488822421,1.7552365741214238,0.1362275126566355,0.0451365016602181,1.7063548452145345,0.1836943324353243,-0.0679455979450329,2.008031302207225,0.2257997780232816,1.113122685736901,0.7400367727150788,0.8001317551007142,0.1423297137827486,0.2841690247123306,1.5780469581887528,0.698451924162942,-1.2512628045436498,-0.0819007561013505,-0.137489485579568,1.507493789131577,-0.211071822288874,-0.5475365020133354,0.6650618737613833,1.352798073678403,-1.176476137863623,0,id11
